text,label,language,source
तपाईंको Twitter मा नयाँ सन्देश प्राप्त भएको छ। हेर्नको लागि लगइन गर्नुहोस्: https://नक्कली-लिङ्क.कम,Phishing,NP,chatgpt
तपाईंको Nabil Bank खातामा असामान्य गतिविधि देखिएको छ। तुरुन्तै https://नक्कली-लिङ्क.कम मा गएर पासवर्ड परिवर्तन गर्नुहोस्।,Phishing,NP,chatgpt
तपाईंको Internal Revenue Department एकाउन्ट शंकास्पद लगइनका कारण ब्लक गरिएको छ। अनलक गर्न https://bit.ly/nep-secure-login मा जानुहोस्।,Phishing,NP,chatgpt
तपाईंको Nepal Bank खातामा असामान्य गतिविधि देखिएको छ। तुरुन्तै https://नक्कली-लिङ्क.कम मा गएर पासवर्ड परिवर्तन गर्नुहोस्।,Phishing,NP,chatgpt
तपाईंको IME Pay खातामा असामान्य गतिविधि देखिएको छ। तुरुन्तै https://bit.ly/nep-secure-login मा गएर पासवर्ड परिवर्तन गर्नुहोस्।,Phishing,NP,chatgpt
तपाईंको Traffic Police पासवर्डको म्याद आज सकिँदैछ। सुरक्षित रहन तुरुन्तै https://short.url/verify-account मा नयाँ पासवर्ड राख्नुहोस्।,Phishing,NP,chatgpt
चेतावनी: तपाईंको Traffic Police एकाउन्टमा प्रतिलिपि अधिकार उल्लङ्घन भएको छ। २४ घण्टा भित्र https://नक्कली-लिङ्क.कम मा अपील नगरे एकाउन्ट डिलिट हुनेछ।,Phishing,NP,chatgpt
तपाईंको Sastodeal पासवर्ड सफलतापूर्वक परिवर्तन भयो।,Safe,NP,chatgpt
तपाईंको Gyapu एकाउन्ट शंकास्पद लगइनका कारण ब्लक गरिएको छ। अनलक गर्न https://नक्कली-लिङ्क.कम मा जानुहोस्।,Phishing,NP,chatgpt
तपाईंको Siddhartha Bank बिल भुक्तानीको लागि धन्यवाद। विवरण संलग्न छ।,Safe,NP,chatgpt
तपाईंको अस्पताल मासिक स्टेटमेन्ट यस इमेलमा संलग्न गरिएको छ।,Safe,NP,chatgpt
तपाईंको NIC Asia Bank अर्डर #79411 सफलतापूर्वक प्राप्त भयो। छिट्टै डेलिभरी हुनेछ।,Safe,NP,chatgpt
तपाईंको Global IME Bank सदस्यता म्याद सकिएको छ। सेवा सुचारु राख्न कार्ड विवरण यहाँ अपडेट गर्नुहोस्: https://short.url/verify-account,Phishing,NP,chatgpt
तपाईंको Instagram खातामा असामान्य गतिविधि देखिएको छ। तुरुन्तै https://bit.ly/nep-secure-login मा गएर पासवर्ड परिवर्तन गर्नुहोस्।,Phishing,NP,chatgpt
तपाईंको eSewa पासवर्डको म्याद आज सकिँदैछ। सुरक्षित रहन तुरुन्तै https://नक्कली-लिङ्क.कम मा नयाँ पासवर्ड राख्नुहोस्।,Phishing,NP,chatgpt
तपाईंको IME Pay मासिक स्टेटमेन्ट यस इमेलमा संलग्न गरिएको छ।,Safe,NP,chatgpt
तपाईंको IME Pay खातामा असामान्य गतिविधि देखिएको छ। तुरुन्तै https://नक्कली-लिङ्क.कम मा गएर पासवर्ड परिवर्तन गर्नुहोस्।,Phishing,NP,chatgpt
"बधाई छ! तपाईंले WhatsApp बाट रु. ५,००,००० को चिठ्ठा जित्नुभएको छ। दाबी गर्न यहाँ जानुहोस्: https://short.url/verify-account",Phishing,NP,chatgpt
चेतावनी: तपाईंको Facebook एकाउन्टमा प्रतिलिपि अधिकार उल्लङ्घन भएको छ। २४ घण्टा भित्र https://short.url/verify-account मा अपील नगरे एकाउन्ट डिलिट हुनेछ।,Phishing,NP,chatgpt
तपाईंको कार्यालय अपोइन्टमेन्ट भोलि दिउँसो २ बजेको लागि तय गरिएको छ।,Safe,NP,chatgpt
तपाईंको IME Pay अर्डर #83305 सफलतापूर्वक प्राप्त भयो। छिट्टै डेलिभरी हुनेछ।,Safe,NP,chatgpt
तपाईंको Sastodeal मा नयाँ सन्देश प्राप्त भएको छ। हेर्नको लागि लगइन गर्नुहोस्: https://नक्कली-लिङ्क.कम,Phishing,NP,chatgpt
तपाईंको Daraz मा नयाँ सन्देश प्राप्त भएको छ। हेर्नको लागि लगइन गर्नुहोस्: https://bit.ly/nep-secure-login,Phishing,NP,chatgpt
तपाईंको Siddhartha Bank बाट आएको पार्सल डेलिभरी असफल भयो। ठेगाना सच्याउन यहाँ क्लिक गर्नुहोस्: https://short.url/verify-account,Phishing,NP,chatgpt
तपाईंको Daraz पासवर्ड सफलतापूर्वक परिवर्तन भयो।,Safe,NP,chatgpt
तपाईंको Nepal Bank पासवर्डको म्याद आज सकिँदैछ। सुरक्षित रहन तुरुन्तै [लिङ्क] मा नयाँ पासवर्ड राख्नुहोस्।,Phishing,NP,chatgpt
तपाईंको LinkedIn केवाईसी (KYC) अपडेट नभएकोले खाता रोक्का गरिएको छ। आजै https://short.url/verify-account मा गएर फारम भर्नुहोस्।,Phishing,NP,chatgpt
तपाईंको कार्यालय पासवर्ड सफलतापूर्वक परिवर्तन भयो।,Safe,NP,chatgpt
तपाईंको Global IME Bank अर्डर #56638 सफलतापूर्वक प्राप्त भयो। छिट्टै डेलिभरी हुनेछ।,Safe,NP,chatgpt
चेतावनी: तपाईंको Nepal Bank एकाउन्टमा प्रतिलिपि अधिकार उल्लङ्घन भएको छ। २४ घण्टा भित्र https://short.url/verify-account मा अपील नगरे एकाउन्ट डिलिट हुनेछ।,Phishing,NP,chatgpt
तपाईंको Gyapu एकाउन्ट शंकास्पद लगइनका कारण ब्लक गरिएको छ। अनलक गर्न [लिङ्क] मा जानुहोस्।,Phishing,NP,chatgpt
तपाईंको NIC Asia Bank सदस्यता म्याद सकिएको छ। सेवा सुचारु राख्न कार्ड विवरण यहाँ अपडेट गर्नुहोस्: https://नक्कली-लिङ्क.कम,Phishing,NP,chatgpt
"बधाई छ! तपाईंले Rastriya Banijya Bank बाट रु. २५,००० को चिठ्ठा जित्नुभएको छ। दाबी गर्न यहाँ जानुहोस्: https://bit.ly/nep-secure-login",Phishing,NP,chatgpt
तपाईंको Gyapu पासवर्डको म्याद आज सकिँदैछ। सुरक्षित रहन तुरुन्तै https://नक्कली-लिङ्क.कम मा नयाँ पासवर्ड राख्नुहोस्।,Phishing,NP,chatgpt
तपाईंको अस्पताल पासवर्ड सफलतापूर्वक परिवर्तन भयो।,Safe,NP,chatgpt
तपाईंको Khalti पासवर्डको म्याद आज सकिँदैछ। सुरक्षित रहन तुरुन्तै https://short.url/verify-account मा नयाँ पासवर्ड राख्नुहोस्।,Phishing,NP,chatgpt
तपाईंको Khalti अपोइन्टमेन्ट भोलि दिउँसो २ बजेको लागि तय गरिएको छ।,Safe,NP,chatgpt
तपाईंको Instagram बाट आएको पार्सल डेलिभरी असफल भयो। ठेगाना सच्याउन यहाँ क्लिक गर्नुहोस्: https://bit.ly/nep-secure-login,Phishing,NP,chatgpt
तपाईंको IME Pay बाट आएको पार्सल डेलिभरी असफल भयो। ठेगाना सच्याउन यहाँ क्लिक गर्नुहोस्: https://bit.ly/nep-secure-login,Phishing,NP,chatgpt
तपाईंको Amazon कर फिर्ता (Tax Refund) तयार छ। रकम प्राप्त गर्न आफ्नो बैंक विवरण यहाँ भर्नुहोस्: https://bit.ly/nep-secure-login,Phishing,NP,chatgpt
चेतावनी: तपाईंको Gyapu एकाउन्टमा प्रतिलिपि अधिकार उल्लङ्घन भएको छ। २४ घण्टा भित्र [लिङ्क] मा अपील नगरे एकाउन्ट डिलिट हुनेछ।,Phishing,NP,chatgpt
तपाईंको Internal Revenue Department कर फिर्ता (Tax Refund) तयार छ। रकम प्राप्त गर्न आफ्नो बैंक विवरण यहाँ भर्नुहोस्: https://bit.ly/nep-secure-login,Phishing,NP,chatgpt
"बधाई छ! तपाईंले Daraz बाट रु. १,००,००० को चिठ्ठा जित्नुभएको छ। दाबी गर्न यहाँ जानुहोस्: [लिङ्क]",Phishing,NP,chatgpt
तपाईंको Traffic Police एकाउन्ट शंकास्पद लगइनका कारण ब्लक गरिएको छ। अनलक गर्न https://bit.ly/nep-secure-login मा जानुहोस्।,Phishing,NP,chatgpt
तपाईंको IME Pay कर फिर्ता (Tax Refund) तयार छ। रकम प्राप्त गर्न आफ्नो बैंक विवरण यहाँ भर्नुहोस्: https://bit.ly/nep-secure-login,Phishing,NP,chatgpt
तपाईंको IME Pay केवाईसी (KYC) अपडेट नभएकोले खाता रोक्का गरिएको छ। आजै https://bit.ly/nep-secure-login मा गएर फारम भर्नुहोस्।,Phishing,NP,chatgpt
तपाईंको Nepal Bank बिल भुक्तानीको लागि धन्यवाद। विवरण संलग्न छ।,Safe,NP,chatgpt
तपाईंको NIC Asia Bank पासवर्ड सफलतापूर्वक परिवर्तन भयो।,Safe,NP,chatgpt
तपाईंको Sanima Bank पासवर्डको म्याद आज सकिँदैछ। सुरक्षित रहन तुरुन्तै https://short.url/verify-account मा नयाँ पासवर्ड राख्नुहोस्।,Phishing,NP,chatgpt
तपाईंको Sanima Bank सदस्यता म्याद सकिएको छ। सेवा सुचारु राख्न कार्ड विवरण यहाँ अपडेट गर्नुहोस्: https://short.url/verify-account,Phishing,NP,chatgpt
तपाईंको Khalti मा नयाँ सन्देश प्राप्त भएको छ। हेर्नको लागि लगइन गर्नुहोस्: https://नक्कली-लिङ्क.कम,Phishing,NP,chatgpt
"बधाई छ! तपाईंले eSewa बाट रु. ५०,००० को चिठ्ठा जित्नुभएको छ। दाबी गर्न यहाँ जानुहोस्: https://short.url/verify-account",Phishing,NP,chatgpt
तपाईंको Twitter मा नयाँ सन्देश प्राप्त भएको छ। हेर्नको लागि लगइन गर्नुहोस्: https://bit.ly/nep-secure-login,Phishing,NP,chatgpt
तपाईंको WhatsApp पासवर्डको म्याद आज सकिँदैछ। सुरक्षित रहन तुरुन्तै [लिङ्क] मा नयाँ पासवर्ड राख्नुहोस्।,Phishing,NP,chatgpt
तपाईंको Gyapu अर्डर #30259 सफलतापूर्वक प्राप्त भयो। छिट्टै डेलिभरी हुनेछ।,Safe,NP,chatgpt
तपाईंको Facebook खातामा असामान्य गतिविधि देखिएको छ। तुरुन्तै https://bit.ly/nep-secure-login मा गएर पासवर्ड परिवर्तन गर्नुहोस्।,Phishing,NP,chatgpt
चेतावनी: तपाईंको Sastodeal एकाउन्टमा प्रतिलिपि अधिकार उल्लङ्घन भएको छ। २४ घण्टा भित्र https://नक्कली-लिङ्क.कम मा अपील नगरे एकाउन्ट डिलिट हुनेछ।,Phishing,NP,chatgpt
तपाईंको LinkedIn खातामा असामान्य गतिविधि देखिएको छ। तुरुन्तै https://नक्कली-लिङ्क.कम मा गएर पासवर्ड परिवर्तन गर्नुहोस्।,Phishing,NP,chatgpt
तपाईंको Gyapu सदस्यता म्याद सकिएको छ। सेवा सुचारु राख्न कार्ड विवरण यहाँ अपडेट गर्नुहोस्: https://bit.ly/nep-secure-login,Phishing,NP,chatgpt
तपाईंको Global IME Bank पासवर्ड सफलतापूर्वक परिवर्तन भयो।,Safe,NP,chatgpt
तपाईंको LinkedIn सदस्यता म्याद सकिएको छ। सेवा सुचारु राख्न कार्ड विवरण यहाँ अपडेट गर्नुहोस्: [लिङ्क],Phishing,NP,chatgpt
तपाईंको Sanima Bank केवाईसी (KYC) अपडेट नभएकोले खाता रोक्का गरिएको छ। आजै https://नक्कली-लिङ्क.कम मा गएर फारम भर्नुहोस्।,Phishing,NP,chatgpt
चेतावनी: तपाईंको Siddhartha Bank एकाउन्टमा प्रतिलिपि अधिकार उल्लङ्घन भएको छ। २४ घण्टा भित्र [लिङ्क] मा अपील नगरे एकाउन्ट डिलिट हुनेछ।,Phishing,NP,chatgpt
तपाईंको Global IME Bank कर फिर्ता (Tax Refund) तयार छ। रकम प्राप्त गर्न आफ्नो बैंक विवरण यहाँ भर्नुहोस्: https://नक्कली-लिङ्क.कम,Phishing,NP,chatgpt
तपाईंको Department of Passports एकाउन्ट शंकास्पद लगइनका कारण ब्लक गरिएको छ। अनलक गर्न [लिङ्क] मा जानुहोस्।,Phishing,NP,chatgpt
तपाईंको Rastriya Banijya Bank केवाईसी (KYC) अपडेट नभएकोले खाता रोक्का गरिएको छ। आजै https://नक्कली-लिङ्क.कम मा गएर फारम भर्नुहोस्।,Phishing,NP,chatgpt
तपाईंको Daraz मा नयाँ सन्देश प्राप्त भएको छ। हेर्नको लागि लगइन गर्नुहोस्: https://short.url/verify-account,Phishing,NP,chatgpt
तपाईंको Global IME Bank एकाउन्ट शंकास्पद लगइनका कारण ब्लक गरिएको छ। अनलक गर्न https://bit.ly/nep-secure-login मा जानुहोस्।,Phishing,NP,chatgpt
तपाईंको Ministry of Labour सदस्यता म्याद सकिएको छ। सेवा सुचारु राख्न कार्ड विवरण यहाँ अपडेट गर्नुहोस्: https://नक्कली-लिङ्क.कम,Phishing,NP,chatgpt
तपाईंको Department of Passports खातामा असामान्य गतिविधि देखिएको छ। तुरुन्तै [लिङ्क] मा गएर पासवर्ड परिवर्तन गर्नुहोस्।,Phishing,NP,chatgpt
तपाईंको Nepal Bank मासिक स्टेटमेन्ट यस इमेलमा संलग्न गरिएको छ।,Safe,NP,chatgpt
तपाईंको Daraz कर फिर्ता (Tax Refund) तयार छ। रकम प्राप्त गर्न आफ्नो बैंक विवरण यहाँ भर्नुहोस्: https://नक्कली-लिङ्क.कम,Phishing,NP,chatgpt
तपाईंको Gyapu अपोइन्टमेन्ट भोलि दिउँसो २ बजेको लागि तय गरिएको छ।,Safe,NP,chatgpt
तपाईंको Ministry of Labour एकाउन्ट शंकास्पद लगइनका कारण ब्लक गरिएको छ। अनलक गर्न https://bit.ly/nep-secure-login मा जानुहोस्।,Phishing,NP,chatgpt
"बधाई छ! तपाईंले Amazon बाट रु. १,००,००० को चिठ्ठा जित्नुभएको छ। दाबी गर्न यहाँ जानुहोस्: https://नक्कली-लिङ्क.कम",Phishing,NP,chatgpt
तपाईंको Sanima Bank कर फिर्ता (Tax Refund) तयार छ। रकम प्राप्त गर्न आफ्नो बैंक विवरण यहाँ भर्नुहोस्: [लिङ्क],Phishing,NP,chatgpt
तपाईंको NIC Asia Bank मासिक स्टेटमेन्ट यस इमेलमा संलग्न गरिएको छ।,Safe,NP,chatgpt
"बधाई छ! तपाईंले Ministry of Labour बाट रु. ५०,००० को चिठ्ठा जित्नुभएको छ। दाबी गर्न यहाँ जानुहोस्: https://bit.ly/nep-secure-login",Phishing,NP,chatgpt
"बधाई छ! तपाईंले Amazon बाट रु. ५०,००० को चिठ्ठा जित्नुभएको छ। दाबी गर्न यहाँ जानुहोस्: [लिङ्क]",Phishing,NP,chatgpt
तपाईंको Internal Revenue Department कर फिर्ता (Tax Refund) तयार छ। रकम प्राप्त गर्न आफ्नो बैंक विवरण यहाँ भर्नुहोस्: [लिङ्क],Phishing,NP,chatgpt
भोलि बिहान १० बजे हाम्रो परियोजना बैठक हुनेछ। कृपया समयमै उपस्थित हुनुहोला।,Safe,NP,chatgpt
तपाईंको Nepal Bank अपोइन्टमेन्ट भोलि दिउँसो २ बजेको लागि तय गरिएको छ।,Safe,NP,chatgpt
तपाईंको Nepal Bank बाट आएको पार्सल डेलिभरी असफल भयो। ठेगाना सच्याउन यहाँ क्लिक गर्नुहोस्: [लिङ्क],Phishing,NP,chatgpt
तपाईंको Nabil Bank पासवर्ड सफलतापूर्वक परिवर्तन भयो।,Safe,NP,chatgpt
तपाईंको Internal Revenue Department केवाईसी (KYC) अपडेट नभएकोले खाता रोक्का गरिएको छ। आजै https://short.url/verify-account मा गएर फारम भर्नुहोस्।,Phishing,NP,chatgpt
तपाईंको Khalti बिल भुक्तानीको लागि धन्यवाद। विवरण संलग्न छ।,Safe,NP,chatgpt
तपाईंको IME Pay बिल भुक्तानीको लागि धन्यवाद। विवरण संलग्न छ।,Safe,NP,chatgpt
तपाईंको Internal Revenue Department बाट आएको पार्सल डेलिभरी असफल भयो। ठेगाना सच्याउन यहाँ क्लिक गर्नुहोस्: https://short.url/verify-account,Phishing,NP,chatgpt
तपाईंको Nepal Bank बाट आएको पार्सल डेलिभरी असफल भयो। ठेगाना सच्याउन यहाँ क्लिक गर्नुहोस्: https://bit.ly/nep-secure-login,Phishing,NP,chatgpt
तपाईंको कम्पनी अपोइन्टमेन्ट भोलि दिउँसो २ बजेको लागि तय गरिएको छ।,Safe,NP,chatgpt
तपाईंको कार्यालय मासिक स्टेटमेन्ट यस इमेलमा संलग्न गरिएको छ।,Safe,NP,chatgpt
